model,scenario_id,n_masts,shapley_source_evidence,shapley_sensor_visibility,shapley_wind_error_sensitivity,featval_source_evidence,featval_sensor_visibility,featval_wind_error_sensitivity,v_all_maps,v_no_maps,efficiency_residual
DeepSets,ch4t-test-000707,7,1.963206,-0.290836,-0.259565,1.566879,0.928247,0.473745,-3.463082,-4.875886,2.220e-16
DeepSets,ch4t-test-000708,5,0.009311,0.106939,-0.047546,-0.012215,-1.902382,0.121300,-8.559988,-8.628693,0.000e+00
DeepSets,ch4t-test-000709,7,1.084160,0.042254,-0.173558,0.605241,1.048620,0.274791,-3.642533,-4.595389,0.000e+00
DeepSets,ch4t-test-000710,7,1.100832,-0.042088,0.031954,1.933835,0.506891,2.012356,-4.022833,-5.113531,2.220e-16
DeepSets,ch4t-test-000711,4,-0.546551,-0.875758,-0.477279,0.182003,-0.110125,0.848885,-11.353772,-9.454183,2.220e-16
DeepSets,ch4t-test-000712,5,0.966763,-0.013450,-0.406844,1.430685,0.595885,1.292312,-6.047958,-6.594427,0.000e+00
DeepSets,ch4t-test-000713,5,0.147889,0.570885,0.132372,0.053851,0.104857,0.168641,-7.669671,-8.520817,1.110e-16
DeepSets,ch4t-test-000714,7,0.892597,0.378493,0.642709,0.114809,1.017149,0.378653,-3.179121,-5.092920,2.220e-16
DeepSets,ch4t-test-000715,5,1.486277,-0.505661,-0.686141,0.996688,-0.448527,1.645181,-4.712573,-5.007048,2.220e-16
DeepSets,ch4t-test-000716,7,-0.173804,-0.129024,0.290352,0.162459,0.755811,0.410100,-7.715270,-7.702794,0.000e+00
DeepSets,ch4t-test-000717,7,0.786192,0.374461,-0.035346,0.375191,1.076269,0.346219,-3.484676,-4.609984,0.000e+00
DeepSets,ch4t-test-000718,5,0.382168,0.241965,0.024720,0.092468,0.670866,0.126317,-7.120237,-7.769091,0.000e+00
DeepSets,ch4t-test-000719,5,0.683921,0.019069,0.001404,0.134665,0.785530,0.295087,-5.588854,-6.293247,0.000e+00
